,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_pdf4lhc_unc_11,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_12,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_13,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_14,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_15,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_16,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_17,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_18,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_19,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_20,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_21,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_22,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_23,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_24,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_25,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_26,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_27,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_28,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_29,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_30,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_31,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
