,ALL,UNKNOWN,QQ2HLNU_FWDH,QQ2HLNU_PTV_0_75_0J,QQ2HLNU_PTV_75_150_0J,QQ2HLNU_PTV_150_250_0J,QQ2HLNU_PTV_250_400_0J,QQ2HLNU_PTV_GT400_0J,QQ2HLNU_PTV_0_75_1J,QQ2HLNU_PTV_75_150_1J,QQ2HLNU_PTV_150_250_1J,QQ2HLNU_PTV_250_400_1J,QQ2HLNU_PTV_GT400_1J,QQ2HLNU_PTV_0_75_GE2J,QQ2HLNU_PTV_75_150_GE2J,QQ2HLNU_PTV_150_250_GE2J,QQ2HLNU_PTV_250_400_GE2J,QQ2HLNU_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_pdf4lhc_unc_7,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_8,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_9,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_10,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_11,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_12,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_13,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_14,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_15,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_16,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_17,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_18,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_19,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_20,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_21,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_22,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_23,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_24,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_25,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_26,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_27,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_28,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_pdf4lhc_unc_29,6735555.0,17185.0,265171.0,708034.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549674.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_qcd_0,6735569.0,17186.0,265175.0,708035.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549682.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_qcd_1,6735569.0,17186.0,265175.0,708035.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549682.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_qcd_2,6735569.0,17186.0,265175.0,708035.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549682.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_qcd_3,6735569.0,17186.0,265175.0,708035.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549682.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_qcd_4,6735569.0,17186.0,265175.0,708035.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549682.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_qcd_5,6735569.0,17186.0,265175.0,708035.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549682.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_qcd_6,6735569.0,17186.0,265175.0,708035.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549682.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
hw_qcd_7,6735569.0,17186.0,265175.0,708035.0,406189.0,111809.0,25611.0,5244.0,211481.0,158668.0,55072.0,15108.0,3370.0,91155.0,80552.0,34420.0,11061.0,2863.0,549682.0,274205.0,1442195.0,70677.0,771648.0,153482.0,91237.0,535781.0,468370.0,18792.0,91810.0,2198.0,14093.0,816.0,5983.0,220.0,1917.0,4283.0,24629.0,907.0,5561.0,394.0,2630.0,113.0,947.0
